id_cmonoc,lat,lon,id_met,province,city,lat_y,lon_y,distance
lnhl,40.687690100000005,120.85180220000001,54453.0,辽宁,连山区,40.47,120.53,0.3885
yntc,24.9545744,98.4383771,56739.0,云南,腾冲,24.59,98.3,0.39
gsgl,37.454768200000004,102.8894357,52784.0,甘肃,古浪,37.28,102.54,0.3907
scdf,30.977889899999997,101.1227147,56167.0,四川,道孚,30.59,101.07,0.3915
ynjd,24.4371372,100.88080079999999,56856.0,云南,景东,24.28,100.52,0.3935
nmwh,39.6638325,106.83868819999999,53512.0,内蒙古,乌海,39.48,106.48,0.4031
xjtc,46.8239234,82.8753835,51133.0,新疆,塔城,46.44,83.0,0.4036
ynys,26.683100699999997,100.7538948,56652.0,云南,永胜,26.41,100.45,0.4086
jlcl,44.5545739,123.5199077,54049.0,吉林,长岭,44.15,123.58,0.409
xjby,42.8291362,83.7156598,51542.0,新疆,巴音布鲁克,43.02,84.09,0.4202
hlmh,52.9750838,122.5127168,50137.0,黑龙江,北极村,53.28,122.22,0.4227
xjal,47.855526,88.1349003,51076.0,新疆,阿勒泰,47.44,88.05,0.4241
ynzd,27.823145899999997,99.69798809999999,56543.0,云南,香格里拉,27.5,99.42,0.4263
scmx,31.6711925,103.84957800000001,56180.0,四川,茂县,31.41,103.51,0.4284
scbz,31.840834700000002,106.74460420000001,57313.0,四川,巴中,31.52,106.46,0.4289
nmdw,45.51310529999999,116.96302709999999,50915.0,内蒙古,东乌珠穆沁,45.31,116.58,0.4335
xjbe,47.6948369,86.85606240000001,51060.0,新疆,布尔津,47.42,86.52,0.4341
qhys,33.009497100000004,97.0146458,56029.0,青海,玉树,33.0,96.58,0.4347
hbzg,30.834844699999998,110.96527069999999,57453.0,湖北,夷陵区,30.46,111.19,0.437
snak,32.7935011,108.77332220000001,57245.0,陕西,安康,32.43,109.02,0.4393
gxbs,23.917222100000004,106.670677,59015.0,广西,凌云,24.21,106.34,0.4417
lnyk,40.683539,122.6030449,54475.0,辽宁,大石桥,40.37,122.29,0.4431
ynmh,21.948164499999997,100.45117309999999,56958.0,云南,勐海,21.55,100.25,0.4461
ynla,22.560297,99.953571,56954.0,云南,澜沧,22.34,99.56,0.451
nmel,43.6348783,111.94215200000001,53068.0,内蒙古,二连浩特,43.38,111.56,0.4594
xjkl,45.6102526,84.9125838,51243.0,新疆,克拉玛依,45.37,84.51,0.4688
xjfy,46.99897,89.5392471,51087.0,新疆,富蕴,46.59,89.31,0.4688
nmag,43.3034855,122.62722509999999,54135.0,内蒙古,通辽,43.36,122.16,0.4706
qhbm,32.9316491,100.7411532,56151.0,青海,班玛,32.56,100.45,0.4721
hecd,41.016323799999995,117.9179361,54319.0,河北,平泉,41.0,118.4,0.4823
hecc,40.8837555,115.8404111,54404.0,河北,赤城,40.53,115.5,0.4909
xjds,44.310910299999996,84.8857464,51357.0,新疆,沙湾,44.2,85.37,0.4968
ahaq,30.6168994,116.9905621,58429.0,安徽,铜陵,30.59,117.51,0.5201
ynym,25.6893871,101.8609293,56774.0,云南,武定,25.32,102.25,0.5365
ynsm,22.7405527,101.04938680000001,56964.0,云南,思茅,22.47,100.58,0.5418
xjbc,39.813866,78.7703078,51720.0,新疆,柯坪,40.3,79.03,0.5511
nmwt,41.0787334,107.0612355,53420.0,内蒙古,杭锦后旗,40.51,107.07,0.5688
nmaz,38.8143547,105.6684392,53518.0,宁夏,石嘴山,39.02,106.21,0.5793
xjyt,36.4328389,81.96906379999999,51931.0,新疆,于田,36.51,81.39,0.5842
xjss,42.892737200000006,90.2570786,51482.0,新疆,木垒,43.5,90.17,0.6135
qhme,37.471874,101.40099740000001,52674.0,甘肃,永昌,38.14,101.58,0.6917
xjkc,41.7251241,82.9785122,51636.0,新疆,新和,41.33,82.39,0.7089
xzbg,30.836551899999996,81.42801259999999,55437.0,西藏,普兰,30.17,81.15,0.7222
xjyn,43.972415500000004,81.5262666,51238.0,新疆,博乐,44.54,82.04,0.7656
xjbl,38.650899,74.9711313,51709.0,新疆,喀什,39.29,75.45,0.7986
nmwl,46.040637200000006,122.02727649999999,50936.0,吉林,白城,45.38,122.5,0.8123
gsdh,40.143483200000006,94.68460390000001,52515.0,甘肃,肃北,39.31,94.52,0.8496
xjxy,43.397626,83.256795,51542.0,新疆,巴音布鲁克,43.02,84.09,0.9148
qhgc,37.333398700000004,100.1301275,52656.0,甘肃,民乐,38.26,100.49,0.994
mmmz,25.434789499999997,97.4504085,56836.0,云南,盈江,24.42,97.57,1.0218
nmay,39.2084398,101.67858000000001,52674.0,甘肃,永昌,38.14,101.58,1.073
xjwq,44.9600762,80.99878829999999,51238.0,新疆,博乐,44.54,82.04,1.1228
