id_igra,wmo,lat,lon,alt,state,name,start,end,total
USM00072632,72632,42.6989,-83.4714,330.2,MI,WHITE LAKE,1994,2020,18641
USM00072634,72634,44.9075,-84.7189,447.7,MI,GAYLORD,1996,2020,17589
USM00072636,72636,43.167,-86.25,193.0,MI,MUSKEGON,1940,1974,10171
USM00072637,72637,42.9667,-83.75,234.4,MI,FLINT BISHOP AP,1956,1994,29048
USM00072639,72639,45.067,-83.567,211.0,MI,ALPENA/PHELPS COLLI,1973,1974,111
USM00072641,72641,43.133,-89.333,264.0,WI,MADISON/DANE COUNTY,1919,1973,12715
USM00072645,72645,44.4986,-88.1119,209.3,WI,GREEN BAY/A.-STRAUBEL,1940,2020,59389
USM00072649,72649,44.8497,-93.5647,290.2,MN,CHANHASSEN,1937,2020,24216
USM00072654,72654,44.3833,-98.2167,391.7,SD,HURON RGNL AP,1938,1994,33451
USM00072655,72655,45.55,-94.0667,316.1,MN,ST CLOUD MUNI AP,1948,1995,35321
USM00072659,72659,45.4556,-98.4133,398.4,SD,ABERDEEN/REG.,1994,2020,18773
USM00072662,72662,44.0728,-103.21,1029.0,SD,RAPID CITY WFO,1939,2020,66725
USM00072666,72666,44.767,-106.967,1209.0,WY,SHERIDAN CO. ARPT,1927,1976,16448
USM00072672,72672,43.0647,-108.4767,1699.0,WY,RIVERTON,1995,2020,17951
USM00072677,72677,45.8,-108.533,1088.0,MT,BILLINGS/LOGAN INT.,1934,1975,18423
USM00072681,72681,43.5672,-116.2114,873.1,ID,BOISE/MUN.,1926,2020,71317
USM00072683,72683,43.583,-118.95,1271.0,OR,BURNS MUNI (AMOS),1973,1975,1705
USM00072688,72688,45.683,-118.85,456.0,OR,PENDLETON MUNICIPAL,1935,1975,17867
USM00072693,72693,44.117,-123.217,114.0,OR,EUGENE/MAHLON SWEET,1943,1975,5856
USM00072694,72694,44.9092,-123.0083,62.4,OR,SALEM/MCNARY,1956,2020,47969
USM00072698,72698,45.5333,-122.6833,8.0,OR,PORTLAND INTL,1928,1972,27685
USM00072712,72712,46.8683,-68.0136,191.0,ME,CARIBOU/MUN.,1940,2020,62317
USM00072734,72734,46.4667,-84.35,218.8,MI,SAULT STE MARIE SANDERSON FLD,1926,1996,58659
USM00072745,72745,46.833,-92.183,432.0,MN,DULUTH INTL AIRPORT,1940,1974,8808
USM00072747,72747,48.5647,-93.3975,357.3,MN,INT.FALLS/FALLS INT. MN.,1942,2020,58866
USM00072753,72753,46.9,-96.8,274.0,ND,FARGO/HECTOR FIELD,1934,1973,15380
USM00072764,72764,46.7717,-100.7594,506.2,ND,BISMARCK/MUN.,1932,2020,76609
USM00072767,72767,48.183,-103.633,581.0,ND,WILLISTON/SLOULIN F,1973,1973,460
USM00072768,72768,48.2067,-106.6256,693.1,MT,GLASGOW/INT.,1943,2020,59524
USM00072773,72773,46.917,-114.083,972.0,MT,MISSOULA/JOHNSON-BE,1935,1975,15882
USM00072776,72776,47.4614,-111.3847,1132.0,MT,GREAT FALLS,1940,2020,63076
USM00072777,72777,48.55,-109.767,792.0,MT,HAVRE (AMOS),1973,1975,690
USM00072781,72781,46.567,-120.533,325.0,WA,YAKIMA AIRTERM,1929,1975,2200
USM00072783,72783,46.374,-117.015,440.0,ID,LEWISTON NEZ PERCE,1973,1974,432
USM00072786,72786,47.6806,-117.6267,729.1,WA,SPOKANE,1926,2020,68847
USM00072792,72792,46.9667,-122.9,66.1,WA,OLYMPIA MUN I AP,1962,1964,1217
USM00072793,72793,47.45,-122.3,137.0,WA,SEATTLE-TACOMA INTL,1944,1981,18573
USM00072797,72797,47.9339,-124.5603,56.8,WA,QUILLAYUTE,1966,2020,39156
USM00072798,72798,48.3833,-124.7333,35.1,WA,TATOOSH ISLAND WB,1940,1966,21960
